00_verbs_core	comprise	verb
00_verbs_core	defer	verb
00_verbs_core	differentiate	verb
00_verbs_core	elicit	verb
00_verbs_core	embody	verb
00_verbs_core	empower	verb
00_verbs_core	encompass	verb
00_verbs_core	endow	verb
00_verbs_core	entail	verb
00_verbs_core	evoke	verb
00_verbs_core	exemplify	verb
00_verbs_core	exert	verb
00_verbs_core	formulate	verb
00_verbs_core	furnish	verb
00_verbs_core	incur	verb
00_verbs_core	inhibit	verb
00_verbs_core	invoke	verb
00_verbs_core	mediate	verb
00_verbs_core	mitigate	verb
00_verbs_core	necessitate	verb
00_verbs_core	obscure	verb
00_verbs_core	omit	verb
00_verbs_core	outweigh	verb
00_verbs_core	oversee	verb
00_verbs_core	override	verb
00_verbs_core	pervade	verb
00_verbs_core	rectify	verb
00_verbs_core	refute	verb
00_verbs_core	reiterate	verb
00_verbs_core	render	verb
00_verbs_core	replicate	verb
00_verbs_core	retrieve	verb
00_verbs_core	revert	verb
00_verbs_core	stipulate	verb
00_verbs_core	supersede	verb
00_verbs_core	surpass	verb
00_verbs_core	transcend	verb
00_verbs_core	uphold	verb
00_verbs_core	validate	verb
00_verbs_core	wield	verb
01_verbs_thought	decipher	verb
01_verbs_thought	elucidate	verb
01_verbs_thought	envisage	verb
01_verbs_thought	envision	verb
01_verbs_thought	equate	verb
01_verbs_thought	esteem	verb
01_verbs_thought	fathom	verb
01_verbs_thought	gauge	verb
01_verbs_thought	generalize	verb
01_verbs_thought	juxtapose	verb
01_verbs_thought	postulate	verb
01_verbs_thought	presuppose	verb
01_verbs_thought	rationalize	verb
01_verbs_thought	reaffirm	verb
01_verbs_thought	rebut	verb
01_verbs_thought	repudiate	verb
01_verbs_thought	substantiate	verb
01_verbs_thought	surmise	verb
01_verbs_thought	synthesize	verb
01_verbs_thought	theorize	verb
01_verbs_thought	visualize	verb
01_verbs_thought	recount	verb
02_verbs_communication	berate	verb
02_verbs_communication	decree	verb
02_verbs_communication	dissuade	verb
02_verbs_communication	divulge	verb
02_verbs_communication	exclaim	verb
02_verbs_communication	flatter	verb
02_verbs_communication	incite	verb
02_verbs_communication	interrogate	verb
02_verbs_communication	intimidate	verb
02_verbs_communication	lament	verb
02_verbs_communication	mock	verb
02_verbs_communication	petition	verb
02_verbs_communication	preach	verb
02_verbs_communication	publicize	verb
02_verbs_communication	rebuke	verb
02_verbs_communication	relay	verb
02_verbs_communication	renounce	verb
02_verbs_communication	reproach	verb
02_verbs_communication	slander	verb
02_verbs_communication	solicit	verb
02_verbs_communication	summon	verb
03_verbs_change	dwindle	verb
03_verbs_change	eradicate	verb
03_verbs_change	evaporate	verb
03_verbs_change	expedite	verb
03_verbs_change	expel	verb
03_verbs_change	extinguish	verb
03_verbs_change	falter	verb
03_verbs_change	forge	verb
03_verbs_change	fortify	verb
03_verbs_change	fracture	verb
03_verbs_change	fuse	verb
03_verbs_change	hamper	verb
03_verbs_change	hasten	verb
03_verbs_change	heighten	verb
03_verbs_change	insulate	verb
03_verbs_change	jeopardize	verb
03_verbs_change	magnify	verb
03_verbs_change	mutate	verb
03_verbs_change	offset	verb
03_verbs_change	radiate	verb
03_verbs_change	rebound	verb
03_verbs_change	recede	verb
03_verbs_change	reconstruct	verb
03_verbs_change	replenish	verb
03_verbs_change	resonate	verb
03_verbs_change	saturate	verb
03_verbs_change	sever	verb
03_verbs_change	shatter	verb
03_verbs_change	solidify	verb
03_verbs_change	sprout	verb
03_verbs_change	subside	verb
03_verbs_change	supplant	verb
03_verbs_change	swell	verb
03_verbs_change	thaw	verb
03_verbs_change	topple	verb
03_verbs_change	transplant	verb
